time,device,activation_predicted
2022-08-31 11:00:00,device_3,1
2022-08-31 12:00:00,device_6,1
2022-08-31 12:00:00,device_5,1
2022-08-31 12:00:00,device_4,1
2022-08-31 12:00:00,device_7,1
2022-08-31 12:00:00,device_2,1
2022-08-31 12:00:00,device_1,1
2022-08-31 12:00:00,device_3,1
2022-08-31 13:00:00,device_1,1
2022-08-31 13:00:00,device_2,1
2022-08-31 13:00:00,device_3,1
2022-08-31 13:00:00,device_4,1
2022-08-31 13:00:00,device_5,1
2022-08-31 13:00:00,device_6,1
2022-08-31 13:00:00,device_7,1
2022-08-31 14:00:00,device_6,1
2022-08-31 14:00:00,device_7,0
2022-08-31 14:00:00,device_5,1
2022-08-31 14:00:00,device_4,1
2022-08-31 14:00:00,device_3,1
2022-08-31 14:00:00,device_2,1
2022-08-31 14:00:00,device_1,1
2022-08-31 15:00:00,device_6,0
2022-08-31 15:00:00,device_5,1
2022-08-31 15:00:00,device_4,1
2022-08-31 15:00:00,device_7,0
2022-08-31 15:00:00,device_2,1
2022-08-31 15:00:00,device_1,1
2022-08-31 15:00:00,device_3,1
2022-08-31 16:00:00,device_1,1
2022-08-31 16:00:00,device_2,1
2022-08-31 16:00:00,device_3,1
2022-08-31 16:00:00,device_4,1
2022-08-31 16:00:00,device_5,0
2022-08-31 16:00:00,device_6,0
2022-08-31 16:00:00,device_7,0
2022-08-31 17:00:00,device_5,0
2022-08-31 17:00:00,device_7,0
2022-08-31 17:00:00,device_4,0
2022-08-31 17:00:00,device_6,0
2022-08-31 17:00:00,device_2,1
2022-08-31 17:00:00,device_1,1
2022-08-31 17:00:00,device_3,0
2022-08-31 18:00:00,device_6,0
2022-08-31 18:00:00,device_5,0
2022-08-31 18:00:00,device_4,0
2022-08-31 18:00:00,device_7,0
2022-08-31 18:00:00,device_2,0
2022-08-31 18:00:00,device_1,0
2022-08-31 18:00:00,device_3,0
2022-08-31 19:00:00,device_1,0
2022-08-31 19:00:00,device_2,0
2022-08-31 19:00:00,device_3,0
2022-08-31 19:00:00,device_4,0
2022-08-31 19:00:00,device_5,0
2022-08-31 19:00:00,device_6,0
2022-08-31 19:00:00,device_7,0
2022-08-31 20:00:00,device_5,0
2022-08-31 20:00:00,device_7,0
2022-08-31 20:00:00,device_4,0
2022-08-31 20:00:00,device_6,0
2022-08-31 20:00:00,device_2,0
2022-08-31 20:00:00,device_1,0
2022-08-31 20:00:00,device_3,0
2022-08-31 21:00:00,device_1,0
2022-08-31 21:00:00,device_2,0
2022-08-31 21:00:00,device_3,0
2022-08-31 21:00:00,device_4,0
2022-08-31 21:00:00,device_5,0
2022-08-31 21:00:00,device_6,0
2022-08-31 21:00:00,device_7,0
2022-08-31 22:00:00,device_7,0
2022-08-31 22:00:00,device_6,0
2022-08-31 22:00:00,device_5,0
2022-08-31 22:00:00,device_2,0
2022-08-31 22:00:00,device_3,0
2022-08-31 22:00:00,device_1,0
2022-08-31 22:00:00,device_4,0
2022-08-31 23:00:00,device_6,0
2022-08-31 23:00:00,device_1,0
2022-08-31 23:00:00,device_2,0
2022-08-31 23:00:00,device_3,0
2022-08-31 23:00:00,device_4,0
2022-08-31 23:00:00,device_5,0
2022-08-31 23:00:00,device_7,0
